customer_id,customer_name,email,registration_date,customer_type
47,Lauren Brown,angela07@example.net,2026-04-02,PREMIUM
48,Rebecca Herring,robinsonaudrey@example.com,2025-09-23,VIP
49,Alison Smith,kristen37@example.net,2026-02-12,PREMIUM
50,Christy Ballard,jenniferoliver@example.com,2024-12-02,VIP
51,Cynthia Pierce,mayskenneth@example.com,2026-03-13,PREMIUM
52,Becky Moran,schneiderkelly@example.net,2024-07-12,PREMIUM
53,Brandon Bailey,sreyes@example.com,2026-03-04,PREMIUM
54,Albert Armstrong,michelle31@example.org,2025-12-29,REGULAR
55,Micheal Waller,linda51@example.net,2025-01-12,REGULAR
56,Vanessa Ponce,ecastillo@example.net,2026-02-17,REGULAR
57,Alexis Lopez,blackburnmichelle@example.net,2026-01-01,REGULAR
58,Dennis Lynch,martineztimothy@example.net,2025-08-31,PREMIUM
59,Priscilla Hester,rruiz@example.net,2026-02-02,PREMIUM
60,Justin Baker,ifletcher@example.net,2024-08-02,PREMIUM
61,Jonathan Perez,pittsbenjamin@example.net,2025-06-04,VIP
62,Jill Sanchez,johnnybullock@example.org,2025-04-25,REGULAR
63,Robert Owens,danielhowe@example.com,2025-01-29,REGULAR
64,Penny Huffman,garciagary@example.org,2025-10-28,VIP
65,Robert Hampton,erinaguilar@example.org,2025-02-19,VIP
66,Cheryl Velazquez,andrew07@example.com,2025-08-04,PREMIUM
67,Jessica Thomas,warren92@example.com,2024-10-14,PREMIUM
68,Sheri Hodge,kim37example,2024-12-17,VIP
69,Sara Dawson,perryjeffrey@example.net,2026-04-23,PREMIUM
70,Aaron Jenkins,perry49@example.com,2025-09-14,REGULAR
71,Lindsay Bryant,sean28@example.com,2024-08-15,REGULAR
72,Kyle Marks,monicachaney@example.com,2025-01-10,PREMIUM
73,Jacob Cervantes,isabel97@example.org,2026-01-07,VIP
74,Kathryn Mcdonald MD,ortegajeremy@example.net,2026-02-01,REGULAR
75,Mr. Daniel Howard,jeffrey02@example.com,2025-04-18,REGULAR
76,John Wheeler,owencharles@example.net,2024-08-09,VIP
77,Debra Powell,iparker@example.net,2025-03-27,VIP
78,Kelly Gonzalez,igrant@example.org,2025-04-24,REGULAR
79,Kristina Mcdonald,jenniferwall@example.org,2025-10-02,PREMIUM
80,Carolyn Lopez,hesskevin@example.com,2025-12-16,PREMIUM
81,Timothy Barton,jonathan91@example.org,2024-11-18,REGULAR
82,Vicki Patterson,kristina83@example.com,2025-01-13,REGULAR
83,Matthew Bird,gwilliams@example.com,2025-06-21,PREMIUM
84,Mr. Michael Griffin,tyler04@example.org,2026-04-24,VIP
85,Theresa Lewis,katie65@example.net,2024-07-19,REGULAR
86,Amy Jenkins,usimpson@example.org,2024-08-22,VIP
87,Tammy Young,xrogers@example.com,2025-05-03,VIP
88,Sara Daugherty,ehawkins@example.com,2025-07-04,PREMIUM
89,Phillip Banks,xmartinez@example.net,2024-11-09,VIP
90,Jeffrey Garcia,andrew08@example.org,2025-03-31,VIP
91,Christopher Mejia,crystal39@example.org,2025-05-08,PREMIUM
92,Timothy Garrett,kellywilson@example.net,2025-07-14,VIP
93,Teresa Shelton,tyrone08@example.com,2026-06-03,PREMIUM
94,Nathan Little,zchristian@example.org,2025-05-24,PREMIUM
95,Michael Carey,danielhaney@example.com,2024-11-02,REGULAR
96,Kathleen Christensen,julie07@example.org,2026-02-12,REGULAR
97,Daniel Edwards,adamjohnson@example.com,2026-01-03,REGULAR
98,Sherry Leach,mfranklin@example.com,2026-04-21,REGULAR
99,George Flores,brownhaley@example.org,2024-12-22,VIP
100,Emily Cortez,rgrant@example.net,2025-01-27,REGULAR
101,Susan Cortez,taylor75@example.net,2025-06-09,PREMIUM
102,Dustin Adams,moralesdiana@example.net,2025-06-24,REGULAR
103,Richard Weber,georgemckinney@example.org,2025-07-10,PREMIUM
104,Robert Cox,jessica41@example.net,2026-04-21,REGULAR
105,Phillip Castro,laura40@example.com,2026-03-24,VIP
106,Michael Wright,davisann@example.com,2026-05-06,REGULAR
107,Antonio Valdez DDS,duncanethan@example.com,2024-09-04,PREMIUM
108,Jonathan Simmons,robin34@example.org,2024-09-06,REGULAR
109,Theresa Mcintosh,corymiller@example.com,2025-04-14,PREMIUM
110,Teresa Thompson,garciaalexander@example.org,2025-03-24,PREMIUM
111,Andrew Miller,bradley71@example.org,2024-11-17,REGULAR
112,Cassandra Ross,icastaneda@example.net,2025-03-08,VIP
113,Alexandria Peters,nathan63@example.com,2024-07-22,PREMIUM
114,Lisa Hardy,csheppard@example.org,2025-09-12,REGULAR
115,Jennifer Mckinney,amacias@example.org,2025-02-18,REGULAR
116,Holly Blackburn MD,nhoward@example.com,2025-01-19,REGULAR
117,Charles Grant,markwilson@example.net,2025-08-09,PREMIUM
118,Deanna Hernandez,michaelwright@example.com,2026-02-28,REGULAR
119,Amber Evans,barneslaura@example.net,2025-01-22,VIP
120,Tiffany Gray,nathaniel11@example.com,2026-03-03,VIP
121,Shawn Tanner,stephen78@example.com,2026-04-28,REGULAR
122,John Warner,nknight@example.org,2025-02-19,REGULAR
123,Sarah Anderson,shaunbarnett@example.org,2024-12-05,PREMIUM
124,Maria Sanders,rachelbrooks@example.net,2026-02-25,PREMIUM
125,Daniel Watts,lisa19@example.com,2026-01-12,REGULAR
126,Gregory Cohen,iperry@example.net,2026-04-25,PREMIUM
127,Todd Wilson,snyderivan@example.net,2025-09-13,PREMIUM
128,Jeffrey Contreras,jacksonsteven@example.com,2025-04-15,VIP
129,Stacey Schultz,rwebster@example.com,2025-08-21,VIP
130,Vincent Lopez,thomascurtis@example.net,2024-08-29,PREMIUM
131,Faith Ramos,williamsmorgan@example.org,2025-07-06,PREMIUM
132,Charles Murillo,isnyder@example.org,2025-08-24,REGULAR
133,Julie Garrett,codybrown@example.org,2026-04-21,VIP
134,Caleb Kerr,deleonlisa@example.com,2024-08-27,PREMIUM
135,Peter Smith,rodrigueznicholas@example.net,2024-12-31,VIP
136,Sean White,smithmaria@example.com,2026-05-24,VIP
137,William White,ohamilton@example.org,2025-11-22,VIP
138,Michele Roy,cortezann@example.com,2025-10-26,REGULAR
139,Alyssa Ramirez,fflynn@example.com,2026-05-20,REGULAR
140,Travis Holloway,devinking@example.net,2026-05-21,REGULAR
141,William Collier,rachel34@example.net,2026-03-13,VIP
142,Ruben Martin,sharon29@example.net,2025-01-23,VIP
143,Kathryn Barnett,zbennett@example.net,2024-07-24,REGULAR
144,Vanessa Williams,jamesmcbride@example.net,2025-07-25,VIP
145,Laura Mckinney,cherylwarren@example.com,2025-02-19,PREMIUM
146,Michael Green,matthewboyd@example.org,2024-11-16,REGULAR
147,Andrea Roberts,qgonzales@example.org,2026-02-06,PREMIUM
148,Elizabeth Choi,stevenlynch@example.com,2026-01-24,PREMIUM
149,Jennifer Mcintyre,josephnelson@example.org,2024-12-26,VIP
150,David Charles,chapmanjenny@example.net,2025-03-16,PREMIUM
151,Scott Young,petercook@example.org,2025-08-30,REGULAR
152,Joshua Martinez,loriadamsexample,2024-12-22,VIP
153,Mrs. Sharon Macias,corey88@example.com,2025-03-17,REGULAR
154,Taylor Mendez,zcarter@example.org,2024-10-15,REGULAR
155,Carolyn Shaffer,jessica13@example.org,2026-01-16,REGULAR
156,Ashley Gonzalez,tgriffith@example.net,2025-07-06,REGULAR
157,James Yang,jenniferwilliams@example.com,2025-10-04,PREMIUM
158,Antonio French,cramos@example.org,2025-04-03,PREMIUM
159,Christopher Simmons,john37@example.org,2026-04-26,VIP
160,Lisa Dawson,moralesashley@example.com,2026-02-21,VIP
161,Kevin Manning,anthony72@example.com,2025-10-24,VIP
162,Maureen Love,uwalker@example.net,2024-11-11,PREMIUM
163,Sharon Kane,hollandkaren@example.com,2024-12-12,REGULAR
164,Erika Kelly,hellis@example.com,2025-07-15,REGULAR
165,Shelley Mitchell,qalexander@example.org,2025-03-20,REGULAR
166,James Walsh Jr.,johnsonhelen@example.org,2025-05-22,REGULAR
167,Jose Greene,elizabeth63@example.org,2024-07-31,VIP
168,Michael Holt,paulbryant@example.org,2026-03-05,PREMIUM
169,Ashley Arnold,yriley@example.com,2025-01-08,VIP
170,Catherine Taylor,xmathews@example.net,2025-02-27,VIP
171,Tasha Johnson,josephfrancis@example.net,2026-03-30,REGULAR
172,David Ryan,john36@example.com,2026-05-20,PREMIUM
173,Alicia Baker,kevingomez@example.net,2025-08-31,REGULAR
174,Sarah Vang,jody57example.org,2025-10-13,REGULAR
175,Phillip Wilson,ksmith@example.net,2025-03-27,PREMIUM
176,Karen Parks,laurenchurch@example.org,2025-07-31,PREMIUM
177,Jonathan Rodriguez,mariajones@example.net,2025-09-15,PREMIUM
178,Crystal Mann,mcdanielmichael@example.org,2025-08-02,REGULAR
179,Caitlin Huff,reedronald@example.com,2026-04-28,VIP
180,Sandra Smith,anthony50@example.net,2025-04-29,VIP
181,Sheri Nguyen,james52@example.org,2025-08-10,PREMIUM
182,Jennifer Gonzalez,daniellecarter@example.org,2025-10-20,REGULAR
183,Megan Holmes,davidmaynard@example.net,2025-10-16,REGULAR
184,Dana Leonard,johnathan58@example.com,2026-01-06,REGULAR
185,Melissa Brown,anna76@example.net,2024-10-18,REGULAR
186,Jeremy Hall,ggoodman@example.org,2025-11-06,VIP
187,Kristopher White,dgarcia@example.org,2026-04-28,VIP
188,Lindsey Franco,ubishop@example.org,2024-07-24,PREMIUM
189,Mike Jones,lthomas@example.com,2024-10-10,VIP
190,Gloria Brady,erik36@example.org,2025-09-22,REGULAR
191,Vincent Garcia,daughertymary@example.net,2026-02-19,REGULAR
192,Angela Gates,morgan71@example.org,2025-05-11,REGULAR
193,Carmen Davis,gmorales@example.org,2025-08-15,PREMIUM
194,Riley Watson,tabithalyons@example.net,2025-03-20,PREMIUM
195,Kent Dillon,bryan52@example.net,2026-05-15,VIP
196,Kelly Rios,ltaylor@example.org,2025-05-13,PREMIUM
197,Mark Jordan,garciapaula@example.net,2026-05-12,VIP
198,Christina Larson,robertsamber@example.net,2025-01-02,REGULAR
199,Jennifer Carey,taylorcrawford@example.org,2025-10-31,REGULAR
200,Gregory Fletcher,jamescampbell@example.net,2025-01-22,PREMIUM
